SWB_1,SWB_2,SWB_3,FSscore,HOUSING,LIVINGARRANGEMENT,SAVINGSRANGES,EARNERS,MANAGE2,PAREDUC,HHEDUC,KIDS_NoChildren,EMPLOY,agecat,generation,PPEDUC,PPETHM,PPGENDER,PPHHSIZE,PPINCIMP,PPMARIT,PPREG4,PPREG9
7,7,7,57,1,4,3,1,3,3,3,0,2,2,4,3,2,1,3,7,1,3,5
6,6,6,42,1,2,4,2,2,3,4,1,2,2,4,3,4,1,1,6,1,3,7
7,7,7,64,2,2,5,2,2,3,4,1,2,1,4,3,1,2,2,6,5,2,3
7,4,4,38,2,2,1,2,3,2,2,1,6,4,2,2,4,1,2,4,1,4,9
6,6,6,62,3,2,5,2,3,4,5,1,2,1,4,4,1,1,1,7,4,3,7
5,5,5,43,1,2,5,2,2,4,4,0,2,4,3,4,1,1,4,9,1,1,1
5,5,5,43,2,2,3,2,1,4,4,0,4,3,4,4,1,2,4,2,1,2,4
6,6,5,44,1,2,4,2,1,3,4,0,2,4,3,4,1,2,5,9,1,2,3
5,6,6,42,2,3,4,2,1,4,4,1,5,1,4,3,1,2,5,9,4,2,3
7,7,6,56,2,2,6,2,2,2,5,1,4,4,3,2,1,2,2,8,1,1,2
5,7,5,59,1,2,4,2,3,2,5,1,1,5,2,5,1,1,2,9,1,3,5
6,6,7,66,1,2,5,2,2,5,5,0,1,4,3,5,1,2,3,9,1,2,4
7,7,7,71,1,2,6,2,3,4,5,0,1,3,3,4,1,1,4,9,1,3,7
7,6,6,50,1,2,5,1,3,2,4,1,8,7,1,4,1,2,2,7,3,4,9
2,3,2,71,1,2,7,2,3,2,5,1,2,4,2,3,1,1,2,9,1,2,4
7,7,7,38,1,2,99,2,3,3,4,0,2,4,3,4,1,2,4,9,1,2,3
7,7,7,85,1,2,6,3,3,4,5,1,2,2,4,4,1,1,3,8,5,4,8
7,7,7,63,2,2,5,2,3,3,5,1,5,3,3,3,4,1,2,4,1,2,3
5,5,5,54,2,1,5,1,3,2,3,1,8,8,1,3,1,2,1,1,4,4,9
7,7,7,47,2,1,1,1,3,2,2,0,2,2,4,2,4,2,2,3,4,3,5
6,6,4,57,1,2,7,1,2,5,5,1,1,7,1,5,1,1,2,9,1,4,9
5,6,6,76,1,2,6,2,3,5,5,1,2,2,4,5,1,1,2,8,1,3,5
3,4,4,28,1,2,3,2,3,3,3,0,2,4,2,3,1,1,4,8,1,4,9
3,3,3,60,2,2,6,2,3,2,5,1,1,2,4,5,4,2,4,2,5,2,3
6,6,6,54,1,2,5,2,2,3,3,1,2,3,4,3,1,1,2,7,1,3,5
5,5,6,55,1,2,5,2,3,2,4,1,2,2,4,4,1,1,2,8,5,4,9
